iter	MAE
308	4.670641997
309	4.666420444
310	4.663739924
311	4.661257195
312	4.658521905
313	4.654600958
314	4.653656194
315	4.64791791
316	4.647403862
317	4.641055261
318	4.636673405
319	4.631129501
320	4.627968844
321	4.62667182
322	4.626021062
323	4.62161501
324	4.617038981
325	4.615957813
326	4.612896844
327	4.609799053
328	4.603461121
329	4.602090991
330	4.601244896
331	4.599109667
332	4.597981959
333	4.595638097
334	4.595359813
335	4.593772039
336	4.593021007
337	4.590278756
338	4.587229108
339	4.583123542
340	4.581145726
341	4.579405792
342	4.579007125
343	4.577339022
344	4.575818026
345	4.573001316
346	4.568662349
347	4.567751262
348	4.566278593
349	4.565829925
350	4.562036831
351	4.561233588
352	4.560073027
353	4.559223399
354	4.556811373
355	4.55542636
356	4.55530749
357	4.555244383
358	4.554386742
359	4.551575295
360	4.550481223
361	4.549623519
362	4.548661162
363	4.546921559
364	4.542496284
365	4.542039626
366	4.539390385
367	4.537478461
368	4.536227335
369	4.532197878
370	4.53133935
371	4.530811902
372	4.530039515
373	4.526306995
374	4.522736769
375	4.518766141
376	4.517021729
377	4.515484027
378	4.512488248
379	4.50858053
380	4.507866326
381	4.505875759
382	4.503158071
383	4.50148183
384	4.499865429
385	4.496845904
386	4.494305329
43619855
387	4.543384855
388	4.542436008
389	4.541949005
390	4.540418626
391	4.539983984
392	4.539365985
393	4.538759055
394	4.536562476
395	4.533836056
396	4.532730948
397	4.531342195
398	4.530717222
399	4.530095697
400	4.52922441
401	4.528166443
402	4.52693416
403	4.52209715
404	4.520558672
405	4.519946173
406	4.518304057
407	4.517030904
408	4.514396464
409	4.513708263
410	4.512337891
411	4.510770798
412	4.508334705
413	4.507912111
414	4.50363525
415	4.501827821
416	4.497662808
417	4.497349793
418	4.49010983
419	4.488735496
420	4.486945309
421	4.485480905
422	4.4845215
423	4.484052788
424	4.481547095
425	4.477698546
426	4.476369891
427	4.475855795
428	4.47442462
429	4.470832537
430	4.468709153
431	4.467632514
432	4.466352952
433	4.465641338
434	4.464871917
435	4.464496067
436	4.46335428
437	4.460914552
438	4.458538005
439	4.455657445
440	4.454991504
441	4.453647892
442	4.451205123
443	4.445397558
444	4.444040649
445	4.442795005
446	4.442195262
447	4.440741765
448	4.439201861
449	4.437089624
450	4.435519436
451	4.431448106
452	4.430322327
453	4.430022501
454	4.428531365
455	4.4274441
456	4.425321864
457	4.424511262
458	4.420786977
459	4.420324489
460	4.418839278
461	4.416190715
462	4.415054098
463	4.413736373
464	4.412420319
465	4.411699742
466	4.408430369
467	4.404876037
468	4.402938985
469	4.402202172
470	4.401459846
471	4.399939675
53095929
473	4.451440312
474	4.449675816
475	4.44788636
476	4.445622686
477	4.44445541
478	4.442957222
479	4.44151769
480	4.440613119
481	4.43962978
482	4.437757552
483	4.436030907
484	4.432989492
485	4.430829788
486	4.43058006
487	4.42955135
488	4.427767924
489	4.425774003
490	4.425708335
491	4.424294026
492	4.422955303
493	4.422263505
494	4.420598997
495	4.416707248
496	4.41492127
497	4.413822421
498	4.412230696
499	4.411899755
500	4.411456848
501	4.410034746
502	4.409922105
503	4.409475627
504	4.408612795
505	4.407364965
506	4.405152142
507	4.404776807
508	4.403405574
509	4.402440051
510	4.401269222
511	4.399595226
512	4.39877592
513	4.398616851
514	4.398132026
515	4.396371878
516	4.395446875
517	4.395091435
518	4.393732526
519	4.392758696
520	4.3912537
521	4.390361921
522	4.389468362
523	4.388729093
524	4.386401722
525	4.385733892
526	4.384461833
527	4.383513957
528	4.382058334
529	4.38026825
530	4.378620199
531	4.378032968
532	4.377142502
533	4.376722454
534	4.375042909
535	4.372319521
536	4.371415174
537	4.370335453
538	4.369640993
5
539	4.270419419
540	4.270139954
541	4.269406333
542	4.266434998
543	4.265913622
544	4.264426222
545	4.262488728
546	4.261436882
547	4.260131909
548	4.25782181
549	4.255906838
550	4.25537473
551	4.254662856
552	4.254470982
553	4.251813477
554	4.251018292
555	4.250301408
556	4.247927782
557	4.246382384
558	4.24487812
559	4.243347012
560	4.240260627
561	4.237711833
562	4.236841317
563	4.234918423
564	4.233502193
565	4.231642393
566	4.231358504
567	4.230319218
568	4.229933401
569	4.228658847
570	4.227679506
571	4.227102375
572	4.225925355
573	4.224763008
574	4.224540987
575	4.221059173
576	4.220584314
577	4.219395646
578	4.219037315
579	4.217922704
580	4.217133628
581	4.216238076
582	4.215989133
583	4.215071199
584	4.211631793
